"","date","hits","keyword"
"1",2022-04-01,37,"Bolsonaro Presidente"
"2",2022-04-02,21,"Bolsonaro Presidente"
"3",2022-04-03,32,"Bolsonaro Presidente"
"4",2022-04-04,20,"Bolsonaro Presidente"
"5",2022-04-05,24,"Bolsonaro Presidente"
"6",2022-04-06,20,"Bolsonaro Presidente"
"7",2022-04-07,20,"Bolsonaro Presidente"
"8",2022-04-08,36,"Bolsonaro Presidente"
"9",2022-04-09,26,"Bolsonaro Presidente"
"10",2022-04-10,20,"Bolsonaro Presidente"
"11",2022-04-11,22,"Bolsonaro Presidente"
"12",2022-04-12,16,"Bolsonaro Presidente"
"13",2022-04-13,37,"Bolsonaro Presidente"
"14",2022-04-14,42,"Bolsonaro Presidente"
"15",2022-04-15,41,"Bolsonaro Presidente"
"16",2022-04-16,19,"Bolsonaro Presidente"
"17",2022-04-17,19,"Bolsonaro Presidente"
"18",2022-04-18,17,"Bolsonaro Presidente"
"19",2022-04-19,25,"Bolsonaro Presidente"
"20",2022-04-20,18,"Bolsonaro Presidente"
"21",2022-04-21,39,"Bolsonaro Presidente"
"22",2022-04-22,40,"Bolsonaro Presidente"
"23",2022-04-23,21,"Bolsonaro Presidente"
"24",2022-04-24,23,"Bolsonaro Presidente"
"25",2022-04-25,29,"Bolsonaro Presidente"
"26",2022-04-26,20,"Bolsonaro Presidente"
"27",2022-04-27,20,"Bolsonaro Presidente"
"28",2022-04-28,20,"Bolsonaro Presidente"
"29",2022-04-29,26,"Bolsonaro Presidente"
"30",2022-04-30,27,"Bolsonaro Presidente"
"31",2022-05-01,100,"Bolsonaro Presidente"
"32",2022-05-02,66,"Bolsonaro Presidente"
"33",2022-05-03,24,"Bolsonaro Presidente"
"34",2022-05-04,22,"Bolsonaro Presidente"
"35",2022-05-05,31,"Bolsonaro Presidente"
"36",2022-05-06,46,"Bolsonaro Presidente"
"37",2022-05-07,53,"Bolsonaro Presidente"
"38",2022-05-08,30,"Bolsonaro Presidente"
"39",2022-05-09,28,"Bolsonaro Presidente"
"40",2022-05-10,22,"Bolsonaro Presidente"
"41",2022-05-11,32,"Bolsonaro Presidente"
"42",2022-05-12,48,"Bolsonaro Presidente"
"43",2022-05-13,29,"Bolsonaro Presidente"
"44",2022-05-14,19,"Bolsonaro Presidente"
"45",2022-05-15,20,"Bolsonaro Presidente"
"46",2022-05-16,24,"Bolsonaro Presidente"
"47",2022-05-17,26,"Bolsonaro Presidente"
"48",2022-05-18,23,"Bolsonaro Presidente"
"49",2022-05-19,24,"Bolsonaro Presidente"
"50",2022-05-20,27,"Bolsonaro Presidente"
"51",2022-05-21,22,"Bolsonaro Presidente"
"52",2022-05-22,22,"Bolsonaro Presidente"
"53",2022-05-23,22,"Bolsonaro Presidente"
"54",2022-05-24,57,"Bolsonaro Presidente"
"55",2022-05-25,18,"Bolsonaro Presidente"
"56",2022-05-26,24,"Bolsonaro Presidente"
"57",2022-05-27,29,"Bolsonaro Presidente"
"58",2022-05-28,22,"Bolsonaro Presidente"
"59",2022-05-29,26,"Bolsonaro Presidente"
"60",2022-05-30,22,"Bolsonaro Presidente"
"61",2022-05-31,27,"Bolsonaro Presidente"
"62",2022-06-01,24,"Bolsonaro Presidente"
"63",2022-06-02,24,"Bolsonaro Presidente"
"64",2022-06-03,18,"Bolsonaro Presidente"
"65",2022-06-04,35,"Bolsonaro Presidente"
"66",2022-06-05,32,"Bolsonaro Presidente"
"67",2022-06-06,22,"Bolsonaro Presidente"
"68",2022-06-07,17,"Bolsonaro Presidente"
"69",2022-06-08,23,"Bolsonaro Presidente"
"70",2022-06-09,39,"Bolsonaro Presidente"
"71",2022-06-10,35,"Bolsonaro Presidente"
"72",2022-06-11,25,"Bolsonaro Presidente"
"73",2022-06-12,25,"Bolsonaro Presidente"
"74",2022-06-13,33,"Bolsonaro Presidente"
"75",2022-06-14,23,"Bolsonaro Presidente"
"76",2022-06-15,24,"Bolsonaro Presidente"
"77",2022-06-16,25,"Bolsonaro Presidente"
"78",2022-06-17,33,"Bolsonaro Presidente"
"79",2022-06-18,34,"Bolsonaro Presidente"
"80",2022-06-19,62,"Bolsonaro Presidente"
"81",2022-06-20,38,"Bolsonaro Presidente"
"82",2022-06-21,25,"Bolsonaro Presidente"
"83",2022-06-22,27,"Bolsonaro Presidente"
"84",2022-06-23,24,"Bolsonaro Presidente"
"85",2022-06-24,28,"Bolsonaro Presidente"
"86",2022-06-25,51,"Bolsonaro Presidente"
"87",2022-06-26,57,"Bolsonaro Presidente"
"88",2022-06-27,26,"Bolsonaro Presidente"
"89",2022-06-28,24,"Bolsonaro Presidente"
"90",2022-06-29,0,"Bolsonaro Presidente"
"91",2022-04-01,24,"Lula Presidente"
"92",2022-04-02,20,"Lula Presidente"
"93",2022-04-03,23,"Lula Presidente"
"94",2022-04-04,15,"Lula Presidente"
"95",2022-04-05,18,"Lula Presidente"
"96",2022-04-06,23,"Lula Presidente"
"97",2022-04-07,19,"Lula Presidente"
"98",2022-04-08,16,"Lula Presidente"
"99",2022-04-09,18,"Lula Presidente"
"100",2022-04-10,14,"Lula Presidente"
"101",2022-04-11,16,"Lula Presidente"
"102",2022-04-12,16,"Lula Presidente"
"103",2022-04-13,12,"Lula Presidente"
"104",2022-04-14,17,"Lula Presidente"
"105",2022-04-15,19,"Lula Presidente"
"106",2022-04-16,13,"Lula Presidente"
"107",2022-04-17,15,"Lula Presidente"
"108",2022-04-18,18,"Lula Presidente"
"109",2022-04-19,20,"Lula Presidente"
"110",2022-04-20,14,"Lula Presidente"
"111",2022-04-21,23,"Lula Presidente"
"112",2022-04-22,30,"Lula Presidente"
"113",2022-04-23,11,"Lula Presidente"
"114",2022-04-24,15,"Lula Presidente"
"115",2022-04-25,17,"Lula Presidente"
